,GDP_PerCapita,GDP_PerCapita,Happiness_Rank,Happiness_Rank,Percentage,Percentage
,mean,median,mean,median,mean,median
Cluster,,,,,,
High GDP PerCapita,14644.933132,14617.60448,41.2,37.0,61.2639626,56.5
Low GDP PerCapita,1393.189105818421,1209.072738,115.02631578947368,117.5,27.35516447368421,24.6190345
Mid-High GDP PerCapita,8189.0035302352935,7507.160971,74.41176470588235,69.0,67.90907552941177,64.699997
Mid-Low GDP PerCapita,4538.384345875,4558.6624075,88.70833333333333,84.5,55.68396270833333,55.457519500000004
